Tmu,mu,T,rho,cp,k,pr,beta
638.15,0.268100313,523.15,1726.626923,1082.70648,0.163,167884.7724,0.000346013
644.2611111,0.218375981,525,1725.521667,1083.403582,0.163185,158489.814,0.000346236
648.15,0.093104104,533.15,1720.652564,1086.4746,0.164,117101.2135,0.000347215
650,0.093104104,538.15,1717.665385,1088.35866,0.165,98761.02823,0.000347819
663.15,0.093104104,538.7055556,1717.333476,1088.568,0.165055556,96773.24424,0.000347886
673.15,0.093104104,544.2611111,1714.014387,1090.6614,0.165611111,77009.76371,0.000348559
675,0.093104104,548.15,1711.691026,1092.12678,0.166,68669.06272,0.000349033
699.8166667,0.093104104,550,1710.585769,1092.823882,0.16637,64660.82458,0.000368387
700,0.093104104,551.65,1709.6,1093.445622,0.1667,61085.90948,0.000385649
718.15,0.093104104,555.3722222,1706.929371,1094.8482,0.167444444,53096.22525,0.000420335
,,558.15,1704.936364,1095.8949,0.168,48328.09369,0.000420827
,,560.9277778,1702.943357,1096.9416,0.168277778,43673.92528,0.000421319
,,566.4833333,1698.957343,1100.29104,0.168833333,34443.15374,0.000422308
,,568.15,1697.761538,1101.295872,0.169,32590.96907,0.000422605
,,575,1692.846783,1105.425732,0.17037,24973.65787,0.000423833
,,577.5944444,1690.985315,1106.98992,0.170888889,22088.59353,0.000424298
,,578.15,1690.586713,1107.324864,0.171,21848.34722,0.000424399
,,583.15,1686.999301,1110.33936,0.173,19590.85374,0.000425301
,,588.7055556,1683.013287,1113.6888,0.174111111,17262.07893,0.000426308
,,593.15,1679.824476,1118.178666,0.175,13675.71451,0.000427118
,,598.15,1676.237063,1123.229765,0.176,10672.06318,0.000428032
,,600,1674.90972,1125.098672,0.176555,9581.283553,0.000428372
,,608.15,1669.062238,1133.331964,0.179,4775.95708,0.000429872
,,623.15,1658.3,1148.485261,0.183,3535.449813,0.000425887
,,625,1657.037978,1150.354168,0.183,3396.746309,0.000422364
,,630.15,1653.524783,1155.5568,0.183,3010.625744,0.000412557
,,638.15,1648.067391,1161.009377,0.183,2414.466579,0.000413924
,,644.2611111,1643.898551,1165.17454,0.185444444,1935.824822,0.000414973
,,648.15,1641.245652,1167.825098,0.187,817.1481564,0.000415644
,,650,1639.98363,1169.086006,0.187616667,813.9116594,0.000415966
,,663.15,1631.013043,1178.048679,0.192,790.9062885,0.000418252
,,673.15,1624.191304,1184.8644,0.195,775.4814127,0.000420008
,,675,1622.929283,1186.125308,0.195555,772.7824394,0.000420338
,,699.8166667,1606,1203.039656,0.203,736.5772926,0.000424766
,,700,1605.874935,1203.164611,0.203055,736.3271447,0.000424799
,,718.15,1593.493478,1215.535144,0.2085,711.5625031,0.0004281
